重庆,日期,日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3,天气状况,风力风向(夜间/白天),最低气温/最高气温,0
重庆,2022-06-03,2022年06月03日,优,47,224,28,47,9,29,0.81,49,"小雨
/小雨","西南风 1-2级
                                        /西南风 1-2级","24℃
                                        /
                                        29℃",5
重庆,2022-06-04,2022年06月04日,优,34,201,20,34,8,22,0.70,44,"小雨
/小雨","西北风 1-2级
                                        /西北风 1-2级","21℃
                                        /
                                        28℃",5
重庆,2022-06-05,2022年06月05日,优,25,68,11,25,7,17,0.54,53,"多云
/多云","西南风 1-2级
                                        /西南风 1-2级","21℃
                                        /
                                        29℃",5
重庆,2022-06-06,2022年06月06日,优,33,130,14,33,8,28,0.64,52,"阴
/多云","南风 1-2级
                                        /南风 1-2级","21℃
                                        /
                                        27℃",5
重庆,2022-06-07,2022年06月07日,优,45,188,20,42,9,30,0.71,76,"多云
/多云","东北风 1-2级
                                        /东北风 1-2级","22℃
                                        /
                                        32℃",5
重庆,2022-06-08,2022年06月08日,良,54,235,32,58,10,38,0.84,58,"小雨
/小雨","东北风 1-2级
                                        /东北风 1-2级","23℃
                                        /
                                        30℃",5
重庆,2022-06-09,2022年06月09日,优,36,137,20,36,8,34,0.72,40,"小雨
/小雨","北风 1-2级
                                        /北风 1-2级","22℃
                                        /
                                        26℃",5
重庆,2022-06-10,2022年06月10日,优,50,253,32,52,9,29,0.76,61,"小雨
/小雨","西南风 1-2级
                                        /西南风 1-2级","21℃
                                        /
                                        26℃",5
重庆,2022-06-11,2022年06月11日,优,45,228,30,45,9,29,0.75,41,"小雨
/小雨","南风 1-2级
                                        /南风 1-2级","22℃
                                        /
                                        25℃",5
重庆,2022-06-12,2022年06月12日,优,19,24,10,17,7,20,0.71,47,"中雨
/多云","东北风 1-2级
                                        /东北风 1-2级","21℃
                                        /
                                        24℃",5
重庆,2022-06-13,2022年06月13日,优,30,119,16,28,8,25,0.69,52,"阴
/多云","西南风 1-2级
                                        /西南风 1-2级","21℃
                                        /
                                        28℃",5
重庆,2022-06-14,2022年06月14日,优,43,210,21,39,9,31,0.72,73,"多云
/多云","东风 1-2级
                                        /东风 1-2级","22℃
                                        /
                                        31℃",5
重庆,2022-06-15,2022年06月15日,优,48,206,22,45,9,39,0.76,77,"多云
/多云","西南风 1-2级
                                        /西南风 1-2级","23℃
                                        /
                                        33℃",5
重庆,2022-06-16,2022年06月16日,优,42,153,22,39,9,29,0.68,74,"阴
/阴","南风 1-2级
                                        /南风 1-2级","24℃
                                        /
                                        31℃",5
重庆,2022-06-17,2022年06月17日,优,33,130,17,33,10,32,0.67,52,"多云
/阴","西南风 1-2级
                                        /西南风 1-2级","24℃
                                        /
                                        30℃",5
重庆,2022-06-18,2022年06月18日,优,33,141,18,33,9,33,0.70,44,"多云
/多云","西北风 1-2级
                                        /西北风 1-2级","23℃
                                        /
                                        31℃",5
重庆,2022-06-19,2022年06月19日,优,41,200,24,38,9,28,0.75,75,"多云
/多云","东南风 1-2级
                                        /东南风 1-2级","23℃
                                        /
                                        31℃",5
重庆,2022-06-20,2022年06月20日,优,50,241,25,43,9,30,0.76,89,"多云
/阴","东风 1-2级
                                        /东风 1-2级","25℃
                                        /
                                        33℃",5
